iter	PRAUC	Logloss
0	0.900564305	0.6580529856
1	0.9267139081	0.6200069819
2	0.9454152895	0.5830174687
3	0.9481782853	0.5588677944
4	0.9509178513	0.5279136899
5	0.9559407067	0.5048716242
6	0.9582411756	0.481450681
7	0.9623695425	0.4578650075
8	0.9622442653	0.4400269075
9	0.9633160312	0.4206343839
10	0.9637465064	0.4065727489
11	0.9652733282	0.3927856209
12	0.9684220806	0.3776776793
13	0.9685060353	0.3662201743
14	0.9693035824	0.3583137433
15	0.9696752901	0.3479061701
16	0.9713840485	0.3375340254
17	0.972940846	0.3276850003
18	0.9730464118	0.3224026393
19	0.973393724	0.3165988763
20	0.9733536911	0.3118206343
21	0.9742685712	0.3050800658
22	0.9754442675	0.2971162448
23	0.9757501921	0.292323366
24	0.9769627876	0.2869067014
25	0.9776661636	0.2811336878
26	0.9786795896	0.2741031425
27	0.9788082325	0.2703552306
28	0.9793210905	0.2661839958
29	0.9801654553	0.2601356729
30	0.9804824266	0.2544771041
31	0.9807405822	0.2517359782
32	0.9814871368	0.2469802448
33	0.9821436458	0.2420338567
34	0.9824639806	0.2392642234
35	0.9827952585	0.2360015541
36	0.9831403458	0.2322558612
37	0.9834385344	0.2290389771
38	0.983836754	0.2260861106
39	0.9842401154	0.2222570812
40	0.9851794054	0.2165400933
41	0.9855402631	0.2123712858
42	0.9859852879	0.2094697274
43	0.9864160206	0.2064781501
44	0.9866637405	0.2031706832
45	0.9867987846	0.2015897818
46	0.9872943964	0.1985849891
47	0.9875052837	0.1965000751
48	0.9881684238	0.1923557766
49	0.9883427284	0.1901350178
50	0.9888355119	0.1881595202
51	0.9891823083	0.1860047548
52	0.9894810354	0.1839609233
53	0.9899813131	0.1815623124
54	0.990271941	0.1794183255
55	0.9905151487	0.177722872
56	0.990642631	0.1762057626
57	0.9909631978	0.1739044052
58	0.9913107299	0.1714156044
59	0.9914260436	0.1698006629
60	0.9918297649	0.1669875324
61	0.9919770368	0.1656503079
62	0.9920884706	0.1641932711
63	0.9923618983	0.1623557103
64	0.9925807043	0.1597538965
65	0.9927678703	0.1582633533
66	0.9930105186	0.1568895591
67	0.9932520165	0.15497146
68	0.9932974037	0.153478162
69	0.993380153	0.1518300393
70	0.9935420518	0.1505012263
71	0.9936479822	0.1493804998
72	0.9938125929	0.1481658938
73	0.9939724904	0.1466988353
74	0.9941306647	0.1453456544
75	0.9943292048	0.1435006894
76	0.9945178822	0.1421796804
77	0.9946924272	0.1410452052
78	0.9948315108	0.1395645735
79	0.9949926323	0.1379232143
80	0.9950681143	0.136189713
81	0.9951561633	0.1355316969
82	0.9952091565	0.1343263322
83	0.9953211344	0.1328811483
84	0.9954308195	0.1318459268
85	0.995543202	0.1306147111
86	0.9956319502	0.1294770758
87	0.9957282668	0.1279626114
88	0.9958018838	0.1272023866
89	0.9959127659	0.125584516
90	0.9959485871	0.1246967954
91	0.9960480044	0.1234409267
92	0.9961591366	0.1223490919
93	0.9961547957	0.1217460656
94	0.9962344696	0.1207303312
95	0.9962208882	0.1201349119
96	0.9963226539	0.1193468578
97	0.9964275883	0.1181851493
98	0.99645549	0.1176598648
99	0.9965100582	0.1168158656
100	0.9965766471	0.115950969
101	0.9966715389	0.1148176267
