iter	Passed	Remaining
0	4	2229
1	8	2099
2	13	2197
3	18	2308
4	23	2357
5	29	2411
6	35	2488
7	39	2431
8	47	2568
9	52	2587
10	58	2579
11	63	2563
12	66	2504
13	71	2485
14	76	2483
15	80	2445
16	89	2532
17	94	2518
18	99	2524
19	104	2514
20	109	2506
21	115	2501
22	120	2494
23	125	2489
24	130	2484
25	135	2476
26	141	2477
27	146	2468
28	151	2464
29	156	2454
30	161	2448
31	167	2445
32	171	2423
33	176	2413
34	181	2414
35	185	2392
36	189	2369
37	195	2373
38	199	2363
39	205	2363
40	210	2359
41	214	2339
42	219	2335
43	224	2330
44	230	2325
45	235	2322
46	239	2305
47	244	2298
48	249	2292
49	254	2287
50	259	2288
51	264	2281
52	269	2276
53	275	2272
54	279	2257
55	283	2250
56	288	2244
57	294	2243
58	300	2243
59	305	2238
60	310	2233
61	315	2229
62	320	2223
63	326	2223
64	331	2218
65	335	2205
66	340	2203
67	345	2197
68	351	2195
69	356	2190
70	361	2184
71	366	2179
72	371	2173
73	376	2169
74	381	2163
75	385	2150
76	389	2140
77	393	2128
78	398	2124
79	404	2123
80	409	2118
81	413	2106
82	418	2103
83	423	2099
84	428	2094
85	433	2089
86	438	2083
87	444	2080
88	450	2078
89	455	2074
90	460	2068
91	465	2063
92	471	2062
93	476	2056
94	479	2046
95	485	2043
96	489	2032
97	494	2027
98	499	2022
99	504	2017
100	510	2015
101	515	2010
102	520	2004
103	525	2000
104	530	1997
105	536	1993
106	540	1983
107	545	1980
108	550	1976
109	556	1971
110	561	1967
111	566	1962
112	571	1958
113	577	1954
114	582	1949
115	587	1943
116	592	1939
117	597	1935
118	603	1932
119	608	1927
120	613	1922
121	619	1918
122	624	1913
123	630	1910
124	635	1905
125	640	1900
126	644	1893
127	649	1887
128	654	1882
129	658	1874
130	663	1869
131	671	1870
132	676	1865
133	681	1861
134	686	1855
135	691	1851
136	698	1851
137	703	1846
138	709	1842
139	714	1837
140	719	1832
141	724	1827
142	729	1822
143	733	1814
144	738	1809
145	744	1804
146	749	1800
147	754	1795
148	760	1790
149	764	1783
150	769	1777
151	774	1773
152	779	1768
153	784	1763
154	790	1758
155	795	1753
156	800	1748
157	805	1743
158	810	1738
159	816	1734
160	821	1729
161	826	1724
162	831	1719
163	837	1715
164	842	1710
165	846	1702
166	851	1697
167	856	1693
168	861	1688
169	867	1684
170	872	1678
171	877	1673
172	881	1666
173	885	1659
174	890	1654
175	895	1648
176	900	1642
177	905	1638
178	910	1633
179	915	1628
180	921	1623
181	926	1618
182	931	1613
183	936	1608
184	941	1603
185	945	1596
186	951	1592
187	956	1587
188	961	1582
189	967	1577
190	972	1572
191	977	1567
192	982	1562
193	987	1558
194	992	1552
195	998	1548
196	1003	1543
197	1007	1536
198	1012	1530
199	1016	1525
200	1020	1518
201	1026	1514
202	1031	1508
203	1036	1503
204	1041	1499
205	1046	1493
206	1052	1489
207	1057	1483
208	1060	1476
209	1066	1472
210	1071	1467
211	1076	1462
212	1082	1457
213	1085	1451
214	1090	1445
215	1095	1440
216	1101	1435
217	1106	1431
218	1110	1425
219	1116	1420
220	1121	1416
221	1125	1409
222	1130	1404
223	1135	1399
224	1139	1393
225	1145	1388
226	1150	1383
227	1155	1378
228	1159	1372
229	1165	1367
230	1168	1361
231	1174	1356
232	1177	1349
233	1182	1344
234	1187	1339
235	1192	1334
236	1196	1327
237	1200	1321
238	1205	1316
239	1211	1311
240	1216	1306
241	1222	1302
242	1227	1298
243	1232	1293
244	1238	1288
245	1243	1283
246	1249	1279
247	1254	1274
248	1259	1269
249	1263	1263
250	1268	1258
251	1273	1253
252	1279	1248
253	1284	1243
254	1289	1238
255	1293	1233
256	1297	1226
257	1302	1221
258	1306	1215
259	1311	1210
260	1316	1205
261	1321	1200
262	1327	1195
263	1332	1191
264	1337	1186
265	1343	1181
266	1347	1175
267	1351	1170
268	1355	1164
269	1359	1158
270	1365	1153
271	1370	1149
272	1375	1143
273	1380	1138
274	1386	1134
275	1391	1129
276	1396	1124
277	1400	1118
278	1405	1113
279	1409	1107
280	1413	1101
281	1419	1097
282	1424	1092
283	1430	1087
284	1434	1081
285	1439	1076
286	1443	1071
287	1448	1066
288	1453	1061
289	1459	1056
290	1465	1052
291	1470	1047
292	1475	1042
293	1480	1037
294	1485	1032
295	1490	1027
296	1496	1022
297	1501	1017
298	1506	1012
299	1512	1008
300	1517	1003
301	1523	998
302	1528	993
303	1533	988
304	1538	983
305	1543	978
306	1548	973
307	1554	968
308	1559	963
309	1564	958
310	1570	954
311	1574	948
312	1579	943
313	1584	938
314	1589	933
315	1594	928
316	1599	923
317	1604	918
318	1610	913
319	1614	908
320	1619	903
321	1624	898
322	1629	893
323	1635	888
324	1641	883
325	1646	878
326	1651	873
327	1656	868
328	1662	864
329	1666	858
330	1671	853
331	1677	849
332	1681	843
333	1687	838
334	1692	833
335	1697	828
336	1702	823
337	1707	818
338	1712	813
339	1717	808
340	1723	803
341	1728	798
342	1733	793
343	1738	788
344	1743	783
345	1748	778
346	1753	773
347	1758	768
348	1763	763
349	1769	758
350	1773	752
351	1778	747
352	1784	742
353	1789	737
354	1794	733
355	1800	728
356	1805	723
357	1811	718
358	1814	712
359	1820	707
360	1825	702
361	1830	697
362	1836	693
363	1841	688
364	1847	683
365	1852	678
366	1857	673
367	1862	668
368	1867	662
369	1872	658
370	1877	652
371	1882	647
372	1887	642
373	1893	637
374	1898	632
375	1902	627
376	1907	622
377	1911	616
378	1916	611
379	1921	606
380	1925	601
381	1929	596
382	1934	590
383	1940	586
384	1944	580
385	1949	575
386	1954	570
387	1960	565
388	1964	560
389	1969	555
390	1974	550
391	1978	545
392	1984	540
393	1989	535
394	1995	530
395	2001	525
396	2008	521
397	2013	515
398	2018	510
399	2023	505
400	2028	500
401	2033	495
402	2039	490
403	2044	485
404	2049	480
405	2053	475
406	2058	470
407	2062	465
408	2067	459
409	2072	455
410	2078	449
411	2083	445
412	2087	439
413	2091	434
414	2096	429
415	2102	424
416	2107	419
417	2113	414
418	2118	409
419	2122	404
420	2127	399
421	2131	393
422	2136	388
423	2140	383
424	2145	378
425	2150	373
426	2155	368
427	2160	363
428	2166	358
429	2171	353
430	2176	348
431	2181	343
432	2185	338
433	2190	333
434	2195	328
435	2201	323
436	2206	318
437	2211	313
438	2216	308
439	2221	302
440	2225	297
441	2231	292
442	2236	287
443	2240	282
444	2246	277
445	2251	272
446	2256	267
447	2260	262
448	2265	257
449	2271	252
450	2276	247
451	2281	242
452	2286	237
453	2291	232
454	2297	227
455	2301	222
456	2306	217
457	2311	212
458	2317	206
459	2321	201
460	2326	196
461	2331	191
462	2337	186
463	2342	181
464	2347	176
465	2353	171
466	2358	166
467	2363	161
468	2367	156
469	2373	151
470	2378	146
471	2383	141
472	2388	136
473	2394	131
474	2399	126
475	2405	121
476	2410	116
477	2415	111
478	2420	106
479	2425	101
480	2430	96
481	2436	90
482	2444	86
483	2449	80
484	2456	75
485	2462	70
486	2468	65
487	2472	60
488	2477	55
489	2483	50
490	2488	45
491	2493	40
492	2499	35
493	2504	30
494	2509	25
495	2514	20
496	2520	15
497	2525	10
498	2530	5
499	2536	0
