rank,feature,mean_abs_shap,is_impedance
1, Correllation with neighbors (1st quartile),0.5780869,False
2,channel_label_enc,0.44970506,False
3, Correllation with neighbors (maximum),0.29766083,False
4, Signal-wide ICA (3rd quartile),0.21257219,False
5, Window-specific PCA reconstruction correlation (mean),0.19738893,False
6, Signal-wide ICA (1st quartile),0.1720188,False
7, Signal-wide ICA50 (3rd quartile),0.16791354,False
8, Signal-wide PCA (3rd quartile),0.1640904,False
9, Window-specific PCA reconstruction correlation (median),0.1499394,False
10, Signal-wide PCA (median),0.14960547,False
11, Window-specific PCA reconstruction correlation (1st quartile),0.13227582,False
12, Correllation with neighbors (mean),0.13097067,False
13, Window-specific relative residuals (minimun),0.12968205,False
14, Standard deviation (mean),0.12952584,False
15, Window-specific PCA (mean),0.12417069,False
16, Low gamma/high gamma ratio (std),0.11814339,False
17, Window-specific PCA (1st quartile),0.10503447,False
18, Low gamma/high gamma ratio (maximum),0.10159927,False
19, Low gamma/high gamma ratio (1st quartile),0.09930331,False
20, Signal-wide PCA (1st quartile),0.092359886,False
